,ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.flags,tcp.analysis.ack_rtt,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,label
58,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,5.0,16.0,0.001952,0.0,0.0,43.279954,0.001952,0.003899,0.001952,benign
59,167772687,167772674,124.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,72.0,5.0,24.0,0.0,1.0,0.0,43.279954,0.0,0.003899,0.0,benign
60,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,0.0,5.0,16.0,0.0019850000000000002,0.0,0.0,43.281939,0.0019850000000000002,0.005884,0.0019850000000000002,benign
61,167772674,167772687,1119.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,1067.0,5.0,24.0,0.0,0.0,0.0,43.290641,0.008702,0.014586000000000002,0.008702,benign
62,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,5.0,16.0,0.001964,0.0,0.0,43.292605,0.001964,0.01655,0.001964,benign
63,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,5.0,17.0,0.0,0.0,0.0,43.29357,0.000965,0.017515,0.000965,benign
64,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,74.0,1068.0,0.0,5.0,17.0,0.001952,0.0,0.0,43.295522,0.001952,0.019466999999999998,0.001952,benign
65,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1069.0,74.0,0.0,5.0,16.0,0.000987,0.0,0.0,43.296509,0.000987,0.020454,0.000987,benign
66,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.320828000000006,4.024319,0.0,0.0,benign
67,167772687,167772674,60.0,1.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,48.314329,0.993501,0.0,0.0,benign
68,167772674,167772687,60.0,1.0,0.0,0.0,0.0,64.0,6.0,5792.0,1.0,0.0,0.0,6.0,18.0,0.001984,0.0,0.0,48.316313,0.001984,0.001984,0.001984,benign
69,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,6.0,16.0,0.0019199999999999998,0.0,0.0,48.318233,0.0019199999999999998,0.003904,0.0019199999999999998,benign
70,167772687,167772674,124.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,72.0,6.0,24.0,0.0,1.0,0.0,48.318233,0.0,0.003904,0.0,benign
71,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,0.0,6.0,16.0,0.001952,0.0,0.0,48.320184999999995,0.001952,0.005856,0.001952,benign
72,167772674,167772687,1119.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,1067.0,6.0,24.0,0.0,0.0,0.0,48.327018,0.006833,0.012689,0.006833,benign
73,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,6.0,16.0,0.001953,0.0,0.0,48.328971,0.001953,0.014641999999999999,0.001953,benign
74,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,6.0,17.0,0.0,0.0,0.0,48.329948,0.000977,0.015619,0.000977,benign
75,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,74.0,1068.0,0.0,6.0,17.0,0.000974,0.0,0.0,48.330921999999994,0.000974,0.016593,0.000974,benign
76,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1069.0,74.0,0.0,6.0,16.0,0.001953,0.0,0.0,48.332875,0.001953,0.018546,0.001953,benign
77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0856,3.752725,0.0,0.0,benign
78,167772687,167772674,60.0,1.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,53.335622,1.250022,0.0,0.0,benign
79,167772674,167772687,60.0,1.0,0.0,0.0,0.0,64.0,6.0,5792.0,1.0,0.0,0.0,7.0,18.0,0.000977,0.0,0.0,53.336599,0.000977,0.000977,0.000977,benign
80,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,7.0,16.0,0.0019879999999999997,0.0,0.0,53.338587,0.0019879999999999997,0.0029649999999999998,0.0019879999999999997,benign
81,167772687,167772674,124.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,72.0,7.0,24.0,0.0,1.0,0.0,53.339546999999996,0.0009599999999999999,0.003925,0.0009599999999999999,benign
